problem,algorithm,noise_pct,trial,igd_auc,final_igd,n_batches
MW5,EGBO,20,6,359.1418541409639,24.485879762016477,12
MW5,EGBO,20,7,390.83510098588505,29.59409080892562,12
MW5,EGBO,20,8,275.9667579657125,18.154573601269476,12
MW5,EGBO,20,9,296.6115426997745,21.3646541821957,12
MW5,Traditional_NEHVI,0,0,115.29608761855307,7.951454318520902,12
MW5,Traditional_NEHVI,0,1,74.14325330216867,4.588609219847099,12
MW5,Traditional_NEHVI,0,2,198.92345839226653,13.209863314921822,12
MW5,Traditional_NEHVI,0,3,31.70271280533344,1.8913598735687809,12
MW5,Traditional_NEHVI,0,4,49.77752547378739,3.401106719016221,12
MW5,Traditional_NEHVI,0,5,35.832141393648946,2.479290959644578,10
MW5,Traditional_NEHVI,0,6,112.46037077178265,7.882918065670593,12
MW5,Traditional_NEHVI,0,7,27.07595255699713,2.2929863211387307,12
MW5,Traditional_NEHVI,0,8,82.82156373159134,4.097418008395623,12
MW5,Traditional_NEHVI,0,9,46.86647136675567,2.6816625954960003,12
MW5,Traditional_NEHVI,1,0,76.27873604546494,6.790440852938282,12
MW5,Traditional_NEHVI,1,1,27.495781842038088,1.6360956196059997,10
MW5,Traditional_NEHVI,1,2,135.23682570042558,9.94380611337894,12
MW5,Traditional_NEHVI,1,3,73.0701082497575,5.914978565565885,12
MW5,Traditional_NEHVI,1,4,277.6506843327744,20.061511704656972,12
MW5,Traditional_NEHVI,1,5,129.58925051405114,8.230766713875845,12
MW5,Traditional_NEHVI,1,6,19.6793382134224,2.316121995481162,12
MW5,Traditional_NEHVI,1,7,35.48823127890417,2.6412002860588597,12
MW5,Traditional_NEHVI,1,8,30.88975040194744,4.097418008397096,12
MW5,Traditional_NEHVI,1,9,92.77591599485679,7.558885726460391,12
MW5,Traditional_NEHVI,5,0,13.768139977043038,1.2270347218820687,12
MW5,Traditional_NEHVI,5,1,109.19043568832788,13.49153341353885,12
MW5,Traditional_NEHVI,5,2,139.33334924145694,9.768640073059819,12
MW5,Traditional_NEHVI,5,3,189.53997316138327,12.18806955355996,12
MW5,Traditional_NEHVI,5,4,59.30356310148034,5.156831574041769,12
MW5,Traditional_NEHVI,5,5,31.37702530025958,2.390064926447713,11
MW5,Traditional_NEHVI,5,6,42.122735827522895,4.365807627918005,12
MW5,Traditional_NEHVI,5,7,26.38841752588166,1.7173554212366133,12
MW5,Traditional_NEHVI,5,8,60.05560171301413,4.097418008371225,12
MW5,Traditional_NEHVI,5,9,85.2262257177234,6.469149472477426,12
MW5,Traditional_NEHVI,10,0,26.80851102213422,1.2469074894015917,12
MW5,Traditional_NEHVI,10,1,153.03261403408237,12.378748518175863,12
MW5,Traditional_NEHVI,10,2,247.4022963268563,18.544645736572146,12
MW5,Traditional_NEHVI,10,3,30.1782160279595,2.743474184359955,12
MW5,Traditional_NEHVI,10,4,17.019464217316184,1.5062441716526482,12
MW5,Traditional_NEHVI,10,5,447.95642060992054,28.300511929197526,12
MW5,Traditional_NEHVI,10,6,134.57301030089593,7.419198832662355,12
MW5,Traditional_NEHVI,10,7,197.99613018925982,10.153647702013323,12
MW5,Traditional_NEHVI,10,8,14.942562492346779,2.1193961823280003,12
MW5,Traditional_NEHVI,10,9,209.33638441937364,11.282960036006692,12
MW5,Traditional_NEHVI,20,0,260.22053954577655,15.038019454157165,12
MW5,Traditional_NEHVI,20,1,128.5383303486194,7.790201839310266,12
MW5,Traditional_NEHVI,20,2,75.69865816273655,6.881696196612414,12
MW5,Traditional_NEHVI,20,3,165.2383736059071,14.368554226600615,12
MW5,Traditional_NEHVI,20,4,60.92029039358633,4.868196549092856,12
MW5,Traditional_NEHVI,20,5,79.08344360287201,4.534982140539515,12
MW5,Traditional_NEHVI,20,6,240.40598285504197,18.174045965726204,12
MW5,Traditional_NEHVI,20,7,271.9400871760661,16.28279877956464,12
MW5,Traditional_NEHVI,20,8,199.70030961396424,18.154573601269476,12
MW5,Traditional_NEHVI,20,9,36.07800175185382,1.955331955621351,12
ZDT2,EGBO,0,0,17.38175048941141,1.0221624676768306,12
ZDT2,EGBO,0,1,20.670021518287925,1.3901412829368585,12
ZDT2,EGBO,0,2,6.079397157189781,0.4447503804582957,12
ZDT2,EGBO,0,3,9.447318957071658,0.8134786068711779,12
ZDT2,EGBO,0,4,6.207506041369871,0.5003915431164131,12
ZDT2,EGBO,0,5,16.020640630985195,1.1382859788667248,12
ZDT2,EGBO,0,6,7.520816894092917,0.47153148876243967,12
ZDT2,EGBO,0,7,12.007360350230664,0.8578911426733801,12
ZDT2,EGBO,0,8,4.005011163474064,0.34419459840797334,12
ZDT2,EGBO,0,9,19.971975050564218,1.478365003026015,12
