problem,algorithm,noise_pct,trial,batch,igd_estimated
DTLZ2_5obj,EGBO,10,3,6,0.6676807151025302
DTLZ2_5obj,EGBO,10,3,7,0.6201620536627631
DTLZ2_5obj,EGBO,10,3,8,0.5619662068132703
DTLZ2_5obj,EGBO,10,3,9,0.5614927296141221
DTLZ2_5obj,EGBO,10,3,10,0.49736638071428024
DTLZ2_5obj,EGBO,10,3,11,0.47526286269420526
DTLZ2_5obj,EGBO,10,4,0,0.9753580041927966
DTLZ2_5obj,EGBO,10,4,1,0.9753580041927966
DTLZ2_5obj,EGBO,10,4,2,0.8816170855198627
DTLZ2_5obj,EGBO,10,4,3,0.8816170855198627
DTLZ2_5obj,EGBO,10,4,4,0.8216625579646142
DTLZ2_5obj,EGBO,10,4,5,0.8097015103335932
DTLZ2_5obj,EGBO,10,4,6,0.7390611302195242
DTLZ2_5obj,EGBO,10,4,7,0.7377180555070934
DTLZ2_5obj,EGBO,10,4,8,0.625429492301744
DTLZ2_5obj,EGBO,10,4,9,0.5540695177893298
DTLZ2_5obj,EGBO,10,4,10,0.5182958114199081
DTLZ2_5obj,EGBO,10,4,11,0.4876790020963983
DTLZ2_5obj,EGBO,10,5,0,0.9790383266111157
DTLZ2_5obj,EGBO,10,5,1,0.936693402388156
DTLZ2_5obj,EGBO,10,5,2,0.918210136243163
DTLZ2_5obj,EGBO,10,5,3,0.7294311196710423
DTLZ2_5obj,EGBO,10,5,4,0.7109727611593957
DTLZ2_5obj,EGBO,10,5,5,0.6548864718188285
DTLZ2_5obj,EGBO,10,5,6,0.6073858678332413
DTLZ2_5obj,EGBO,10,5,7,0.5954665422186731
DTLZ2_5obj,EGBO,10,5,8,0.5693818988851452
DTLZ2_5obj,EGBO,10,5,9,0.5686507450908367
DTLZ2_5obj,EGBO,10,5,10,0.4989638371906386
DTLZ2_5obj,EGBO,10,5,11,0.48951916330555784
DTLZ2_5obj,EGBO,10,6,0,0.9642771677174129
DTLZ2_5obj,EGBO,10,6,1,0.7743765428375111
DTLZ2_5obj,EGBO,10,6,2,0.6997338400804576
DTLZ2_5obj,EGBO,10,6,3,0.6823412618162747
DTLZ2_5obj,EGBO,10,6,4,0.6528069407702677
DTLZ2_5obj,EGBO,10,6,5,0.6216072924087572
DTLZ2_5obj,EGBO,10,6,6,0.6195791629032295
DTLZ2_5obj,EGBO,10,6,7,0.5920059564979593
DTLZ2_5obj,EGBO,10,6,8,0.5736243379517119
DTLZ2_5obj,EGBO,10,6,9,0.5691840710031046
